inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 02.019,INV 02,0.976515776360075,0.020945492468408183,0.036320391910323456,8306,True,
INV 02.020,INV 02,0.9739996340975962,0.02121205311701721,0.038569376984308186,8336,True,
INV 02.021,INV 02,0.9749110341620647,0.02159681275808485,0.037923010582430965,8294,True,
INV 02.022,INV 02,0.9748489539088743,0.021203418699419347,0.03789407286376809,8286,True,
INV 02.023,INV 02,0.9767150368622508,0.021723068174734492,0.03627242416811176,8206,True,
INV 02.024,INV 02,0.9762369851770187,0.020296640007873568,0.03626326954849056,8320,True,
INV 02.025,INV 02,0.9741468695510597,0.022224826817126404,0.038133626753756214,8289,True,
INV 02.026,INV 02,0.9756510746748721,0.022013668895438557,0.03713757126512913,8279,True,
INV 02.027,INV 02,0.9756262627945123,0.020336044908636896,0.03684623763528198,7680,True,
INV 02.028,INV 02,0.9755687173079932,0.02087252201133616,0.037213910215013905,8345,True,
INV 02.029,INV 02,0.976623501241446,0.02074518834639563,0.0360380459980006,8523,True,
INV 02.030,INV 02,0.9712822180656504,0.022377488525116188,0.03865457957556382,8257,True,
INV 02.031,INV 02,0.976864732185406,0.020532108981100163,0.036181090654733926,8263,True,
