inverter_id,group_id,success,training_samples,r2,mae_kw,rmse_kw,processing_time_s,error
INV 02.060,INV 02,True,11514,0.9901096713553119,0.017029492966198014,0.02217891418028694,1.882211685180664,
INV 03.078,INV 03,True,13634,0.989733761566827,0.0181702992262116,0.02253016289473574,3.370717763900757,
INV 04.114,INV 04,True,13447,0.9896508863749769,0.018975890516162268,0.023105001346734353,3.2169201374053955,
INV 03.063,INV 03,True,13649,0.9895759057320662,0.01802830430923686,0.022685310577410602,3.8464388847351074,
INV 04.110,INV 04,True,13072,0.9890686900075777,0.018391274194449667,0.023602990134011494,3.036696672439575,
INV 03.064,INV 03,True,13544,0.9883053311383214,0.019330902013945137,0.024257051409739654,3.811782121658325,
INV 01.023,INV 01,True,13440,0.9882754929096808,0.019841388916035842,0.024942709789808882,3.287091016769409,
INV 05.135,INV 05,True,13987,0.9880545357740612,0.019090941008651535,0.022682955856872414,3.152026891708374,
INV 01.021,INV 01,True,13373,0.9880264218240079,0.01997006217471297,0.024875410356701058,3.3889150619506836,
INV 03.065,INV 03,True,13552,0.9879119675846199,0.019588540879555024,0.02444975395305698,3.4605941772460938,
INV 03.066,INV 03,True,13395,0.9877480980480156,0.01930427072018778,0.02444236467214564,3.4339089393615723,
INV 03.080,INV 03,True,13584,0.9874742201445842,0.019958626841855134,0.024586917326065414,3.3235738277435303,
INV 04.115,INV 04,True,13477,0.9873974009616266,0.019350405249532514,0.02540040872410232,3.1546339988708496,
INV 03.087,INV 03,True,13588,0.9859617039962247,0.021899988971356203,0.026537377484861537,3.21111798286438,
INV 01.014,INV 01,True,13281,0.9859002712629146,0.02175530541620882,0.02686920460177948,3.046678066253662,
INV 01.003,INV 01,True,12374,0.9854535900288781,0.019290628647336088,0.027046767884187653,3.681536912918091,
INV 03.072,INV 03,True,13590,0.9851903129324068,0.022837195839939636,0.027631208951832256,3.3238680362701416,
INV 05.129,INV 05,True,13937,0.985172187393803,0.01658920951640762,0.026153034327598197,3.7524380683898926,
INV 03.083,INV 03,True,13454,0.9847110705775336,0.02284212261641634,0.027374889941857508,3.1068270206451416,
INV 03.079,INV 03,True,13613,0.9845583683713556,0.022497770471673933,0.027405884096019257,3.3489410877227783,
INV 04.112,INV 04,True,13215,0.9837743790138385,0.02358473813154396,0.02883358190850015,3.157823085784912,
INV 01.022,INV 01,True,13320,0.9837211122268514,0.022663233842157484,0.029328563150894913,3.4635887145996094,
INV 03.071,INV 03,True,13534,0.9832513407156681,0.02425593285669588,0.02912564831280097,3.298588991165161,
INV 04.101,INV 04,True,13135,0.9832064797382517,0.022389788524091177,0.028848555965806332,3.4006471633911133,
INV 03.086,INV 03,True,13506,0.9827806070977008,0.02444237102462412,0.02963268907739203,3.1730849742889404,
INV 03.085,INV 03,True,13556,0.982700162234346,0.024432449700886306,0.029505881700041574,3.3018319606781006,
INV 01.018,INV 01,True,13587,0.9820955864565069,0.024649541792150547,0.03035746725087856,3.3157129287719727,
INV 03.070,INV 03,True,13603,0.9817854613491397,0.024907249207493806,0.030176008423196277,3.2211358547210693,
INV 03.081,INV 03,True,13487,0.9807033712825579,0.025471661870237056,0.03080089626977058,3.130679130554199,
INV 03.068,INV 03,True,13331,0.9802639831149841,0.025913787615598594,0.03140650197097223,3.317168712615967,
INV 03.082,INV 03,True,13247,0.9800916560181429,0.025826551875942103,0.031222658289548698,2.9860949516296387,
INV 04.107,INV 04,True,13531,0.9796515934903114,0.0263574306505699,0.032283296760437605,3.2855520248413086,
INV 01.019,INV 01,True,13522,0.9778502853405275,0.0291278219940242,0.034737218082561507,3.327606201171875,
INV 03.067,INV 03,True,13249,0.9777902241246713,0.028309989360650316,0.033700362261987964,3.3187668323516846,
INV 04.109,INV 04,True,13297,0.9766256963769857,0.029289822418920225,0.03499309566237387,3.092555046081543,
INV 03.084,INV 03,True,13455,0.9739345897038598,0.030069095694018087,0.035970352503284016,3.076367139816284,
INV 04.104,INV 04,True,13273,0.9736337807129914,0.02575075233918901,0.03422230628127224,4.077766180038452,
INV 03.069,INV 03,True,13162,0.9690783345590429,0.03326892539047987,0.03970313408855303,3.1999130249023438,
