inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 02.046,INV 02,0.9941766884003007,0.012591528949744524,0.018671845872918053,53854,True,
INV 05.146,INV 05,0.9971494857080988,0.008496348666545861,0.012760639986391303,59228,True,
INV 05.147,INV 05,0.9971668129161643,0.008380667527647394,0.012869315055113505,58044,True,
INV 05.149,INV 05,0.9967565404616543,0.008898387192285112,0.013522484192624255,58711,True,
INV 02.047,INV 02,0.9941919164630391,0.012698885267433452,0.018870540678884242,51867,True,
INV 02.049,INV 02,0.9940058492162601,0.012936051582579237,0.01923618165444251,47250,True,
INV 02.050,INV 02,0.9941049774978222,0.012938078372373695,0.019140838292761517,47215,True,
INV 02.060,INV 02,0.9944200240476273,0.012361766350740452,0.018608439640645937,47326,True,
INV 02.052,INV 02,0.9939091080549259,0.013021548712305963,0.019406659038349157,41556,True,
INV 02.057,INV 02,0.9940244725413933,0.012890849829946755,0.019383631880568436,42618,True,
INV 02.059,INV 02,0.9941453328171521,0.01264896772750906,0.01913910177951169,44901,True,
INV 02.054,INV 02,0.9940389234210174,0.013048653781662874,0.01935186222647713,42618,True,
INV 02.055,INV 02,0.993440590474619,0.013325634344102947,0.02011448922541304,41357,True,
INV 02.056,INV 02,0.99390698952527,0.013145938403295936,0.01967805798067607,42149,True,
INV 02.058,INV 02,0.9942997742243045,0.012733539619101742,0.018934443576333233,44560,True,
INV 02.053,INV 02,0.9938842552084544,0.013306033065200043,0.01968376198686225,42758,True,
